date,bvol
2017-01-01,1.89
2017-01-02,2.75
2017-01-03,2.02
2017-01-04,5.67
2017-01-05,16.86
2017-01-06,11.08
2017-01-07,8.64
2017-01-08,4.95
2017-01-09,4.45
2017-01-10,2.47
2017-01-11,10.96
2017-01-12,6.94
2017-01-13,4.82
2017-01-14,3.41
2017-01-15,2.12
2017-01-16,2.19
2017-01-17,3.81
2017-01-18,4.45
2017-01-19,2.77
2017-01-20,2.03
2017-01-21,2.99
2017-01-22,3.37
2017-01-23,2.15
2017-01-24,3.26
2017-01-25,1.68
2017-01-26,1.22
2017-01-27,1.54
2017-01-28,0.91
2017-01-29,0.79
2017-01-30,0.85
2017-01-31,2.2
2017-02-01,1.92
2017-02-02,1.52
2017-02-03,3.04
2017-02-04,2.09
2017-02-05,1.79
2017-02-06,1.52
2017-02-07,1.24
2017-02-08,4.3
2017-02-09,8.75
2017-02-10,4.12
2017-02-11,2.11
2017-02-12,1.41
2017-02-13,2.75
2017-02-14,2.62
2017-02-15,1.24
2017-02-16,1.57
2017-02-17,2.45
2017-02-18,1.8
2017-02-19,1.7
2017-02-20,1.65
2017-02-21,2.65
2017-02-22,2.57
2017-02-23,2.62
2017-02-24,6.58
2017-02-25,3.36
2017-02-26,2.44
2017-02-27,2.68
2017-02-28,3.04
2017-03-01,2.12
2017-03-02,2.8
2017-03-03,2.77
2017-03-04,2.66
2017-03-05,2.27
2017-03-06,2.03
2017-03-07,4.57
2017-03-08,4.74
2017-03-09,3.14
2017-03-10,15.89
2017-03-11,4.92
2017-03-12,2.55
2017-03-13,2.52
2017-03-14,1.76
2017-03-15,1.71
2017-03-16,3.87
2017-03-17,5.94
2017-03-18,8.41
2017-03-19,5.09
2017-03-20,3.29
2017-03-21,2.88
2017-03-22,5.68
2017-03-23,3.18
2017-03-24,6.02
2017-03-25,5.42
2017-03-26,4.74
2017-03-27,3.49
2017-03-28,2.99
2017-03-29,3.08
2017-03-30,3.43
2017-03-31,3.63
2017-04-01,2.76
2017-04-02,2.98
2017-04-03,3.02
2017-04-04,2.59
2017-04-05,1.79
2017-04-06,2.04
2017-04-07,1.73
